INDEX_NAME,INDEX_TYPE,TABLE_NAME,TABLE_TYPE,TABLESPACE_NAME,IND_COLS,DATASOURCE
CUSTLOGINNAME_UK9,NORMAL,AR_CUSTOMERS,TABLE,ORATECH_DATA,LOGIN_NAME,ORATECHCANNON
CUSTNAME_NDX,NORMAL,AR_CUSTOMERS,TABLE,ORATECH_INDX,CUSTOMER_NAME,ORATECHCANNON
CUSTOMERNUMBER_UK4,NORMAL,AR_CUSTOMERS,TABLE,ORATECH_DATA,CUSTOMER_NUMBER,ORATECHCANNON
CUST_PK,NORMAL,AR_CUSTOMERS,TABLE,ORATECH_DATA,CUSTOMER_ID,ORATECHCANNON
ARCUSTOMERIMP_PK,NORMAL,AR_CUSTOMER_IMPORT,TABLE,ORATECH_DATA,IMPORT_ID,ORATECHCANNON
ARPL_PK,NORMAL,AR_CUSTOMER_PRICELISTS,TABLE,ORATECH_DATA,CUSTOMER_PRICELIST_ID,ORATECHCANNON
ARPL_UK1,NORMAL,AR_CUSTOMER_PRICELISTS,TABLE,ORATECH_DATA,CUSTOMER_ID~PRICELIST_HEADER_ID~,ORATECHCANNON
ARPL_UK2,NORMAL,AR_CUSTOMER_PRICELISTS,TABLE,ORATECH_DATA,CUSTOMER_ID~SL_NO~,ORATECHCANNON
ACPL_AR_PRICELIST_UK_UK,NORMAL,AR_CUSTOMER_PRICE_LISTS,TABLE,ORATECH_DATA,CUSTOMER_ID~ITEM_ID~,ORATECHCANNON
ACPL_PK,NORMAL,AR_CUSTOMER_PRICE_LISTS,TABLE,ORATECH_DATA,PRICE_LIST_ID,ORATECHCANNON
CTP_AR_CUSTPROF_UK1_UK,NORMAL,AR_CUSTOMER_PROFILES,TABLE,ORATECH_DATA,CUST_PROFILE_NAME,ORATECHCANNON
CTP_PK,NORMAL,AR_CUSTOMER_PROFILES,TABLE,ORATECH_DATA,CUST_PROFILE_ID,ORATECHCANNON
CUSTSPLITHEADERS_PK,NORMAL,AR_CUSTSPLIT_HEADERS,TABLE,ORATECH_DATA,CUSTSPLIT_ID,ORATECHCANNON
CUSTSPLITHEADERS_UK1,NORMAL,AR_CUSTSPLIT_HEADERS,TABLE,ORATECH_DATA,CUSTSPLIT_NAME,ORATECHCANNON
CUSTSPLITLINES_PK,NORMAL,AR_CUSTSPLIT_LINES,TABLE,ORATECH_DATA,CUSTSPLIT_LINE_ID,ORATECHCANNON
CUSTSPLITLINES_UK1,NORMAL,AR_CUSTSPLIT_LINES,TABLE,ORATECH_DATA,CUSTSPLIT_ID~CUSTOMER_ID~,ORATECHCANNON
CUSTSUMSNAP_PK,NORMAL,AR_CUSTSUM_SNAP,TABLE,ORATECH_DATA,SNAPSHOT_ID,ORATECHCANNON
CUSBARCODE_PK,NORMAL,AR_CUST_BARCODE_UPLOADS,TABLE,ORATECH_DATA,UPLOAD_BARCODE_ID,ORATECHCANNON
CUSBARCODE_UK1,NORMAL,AR_CUST_BARCODE_UPLOADS,TABLE,ORATECH_DATA,UPLOAD_ID~BARCODE~,ORATECHCANNON
ARCUSTEXCATL_PK,NORMAL,AR_CUST_ITEM_EXLCATEGORIES,TABLE,ORATECH_DATA,EXL_CATEGORY_ID,ORATECHCANNON
ARCUSTMAPCATL_PK,NORMAL,AR_CUST_ITEM_MAPCATEGORIES,TABLE,ORATECH_DATA,MAP_CATEGORY_ID,ORATECHCANNON
MAP_CATSUBCAT_NDX,NORMAL,AR_CUST_ITEM_MAPCATEGORIES,TABLE,ORATECH_INDX,CUSTOMER_ID~CATEGORY_ID~SUB_CATEGORY_ID,ORATECHCANNON
ARCUSTITEMOFFER_NDX,NORMAL,AR_CUST_ITEM_OFFERS,TABLE,ORATECH_INDX,CUSTOMER_ID~OFFER_HEADER_ID~,ORATECHCANNON
ARCUSTOFFER_PK,NORMAL,AR_CUST_ITEM_OFFERS,TABLE,ORATECH_DATA,OFFER_ID,ORATECHCANNON
ARCUSTITEMUPLOAD_NDX3,NORMAL,AR_CUST_ITEM_UPLOADS,TABLE,ORATECH_DATA,ITEM_ID~UPLOAD_STATUS~,ORATECHCANNON
ARCUSTITEMUP_INDX2,NORMAL,AR_CUST_ITEM_UPLOADS,TABLE,ORATECH_INDX,CUSTOMER_ID~UPLOAD_ITEM~ITEM_ID,ORATECHCANNON
CUSTITEM_PK,NORMAL,AR_CUST_ITEM_UPLOADS,TABLE,ORATECH_DATA,UPLOAD_ID,ORATECHCANNON
ACPM_PK,NORMAL,AR_CUST_PAYMENT_METHODS,TABLE,ORATECH_DATA,CPM_ID,ORATECHCANNON
CMP_UK1,NORMAL,AR_CUST_PAYMENT_METHODS,TABLE,ORATECH_DATA,CUST_CUSTOMER_ID~CPM_PMNT_METHOD_ID~,ORATECHCANNON
ACSC_PK,NORMAL,AR_CUST_STORE_CARDSES,TABLE,ORATECH_DATA,CARD_NO,ORATECHCANNON
AR_DELH_PK,NORMAL,AR_DELIVERY_HEADERS,TABLE,ORATECH_DATA,DELIVERY_HEADER_ID,ORATECHCANNON
AR_DELH_UK1,NORMAL,AR_DELIVERY_HEADERS,TABLE,ORATECH_DATA,DELIVERY_NOTE_NUMBER,ORATECHCANNON
AR_DELL_PK,NORMAL,AR_DELIVERY_LINES,TABLE,ORATECH_DATA,DELIVERY_LINE_ID,ORATECHCANNON
AR_DELL_UK,NORMAL,AR_DELIVERY_LINES,TABLE,ORATECH_DATA,DELIVERY_HEADER_ID~SL_NO~,ORATECHCANNON
AR_FREIGHT_COUNTRIES_PK,NORMAL,AR_FREIGHT_COUNTRIES,TABLE,ORATECH_DATA,FREIGHT_COUNTRY_ID,ORATECHCANNON
AR_FREIGHT_COUNTRIES_UK1,NORMAL,AR_FREIGHT_COUNTRIES,TABLE,ORATECH_DATA,FREIGHT_LINE_ID~COUNTRY_CODE~,ORATECHCANNON
ARFREIGHT_PK,NORMAL,AR_FREIGHT_HEADERS,TABLE,ORATECH_DATA,FREIGHT_HEADER_ID,ORATECHCANNON
ARFREIGHT_UK1,NORMAL,AR_FREIGHT_HEADERS,TABLE,ORATECH_DATA,NAME,ORATECHCANNON
ARFREIGHTL_PK,NORMAL,AR_FREIGHT_LINES,TABLE,ORATECH_DATA,FREIGHT_LINE_ID,ORATECHCANNON
ARFREIGHTL_UK1,NORMAL,AR_FREIGHT_LINES,TABLE,ORATECH_DATA,FREIGHT_NAME,ORATECHCANNON
ARFREIGHTL_UK2,NORMAL,AR_FREIGHT_LINES,TABLE,ORATECH_DATA,FREIGHT_CODE,ORATECHCANNON
AFM_PK,NORMAL,AR_FREIGHT_MASTERS,TABLE,ORATECH_DATA,FREIGHT_CODE,ORATECHCANNON
ARINVBATCHL_PK,NORMAL,AR_INVBATCH_COUNT,TABLE,ORATECH_DATA,INVBATCH_GROUP_ID~INVBATCH_LINE_ID~,ORATECHCANNON
ARINVH_NDX3,NORMAL,AR_INVOICE_HEADERS,TABLE,ORATECH_INDX,INVOICE_HEADER_ID~INVOICE_STATUS~ORDER_HEADER_ID,ORATECHCANNON
ARINVH_PK,NORMAL,AR_INVOICE_HEADERS,TABLE,ORATECH_DATA,INVOICE_HEADER_ID,ORATECHCANNON
ARINVH_UK1,NORMAL,AR_INVOICE_HEADERS,TABLE,ORATECH_DATA,INVOICE_NUMBER,ORATECHCANNON
ARINV_FOGRID,NORMAL,AR_INVOICE_HEADERS,TABLE,ORATECH_INDX,INVOICE_DATE~INVOICE_STATUS~SHIPFROM_LOCATION_ID,ORATECHCANNON
INVCREDITNOTE_INDX,NORMAL,AR_INVOICE_HEADERS,TABLE,ORATECH_INDX,INVOICE_STATUS~CREDIT_INVOICE_HEADER_ID~,ORATECHCANNON
ARINVLINEHEADERID,NORMAL,AR_INVOICE_LINES,TABLE,ORATECH_INDX,INVOICE_HEADER_ID,ORATECHCANNON
ARINVLINE_ITEMID_NDX,NORMAL,AR_INVOICE_LINES,TABLE,ORATECH_INDX,ITEM_ID,ORATECHCANNON
ARINVLINE_PK,NORMAL,AR_INVOICE_LINES,TABLE,ORATECH_DATA,INVOICE_LINE_ID,ORATECHCANNON
INVCREDITNOTELINE_INDX,NORMAL,AR_INVOICE_LINES,TABLE,ORATECH_INDX,INVOICE_LINE_STATUS~CREDIT_INVOICE_LINE_ID~,ORATECHCANNON
ARFULFILL_PK,NORMAL,AR_ITEM_FULFILLMENT,TABLE,ORATECH_DATA,FULFILLMENT_ID,ORATECHCANNON
AO_PK,NORMAL,AR_OPTIONS,TABLE,ORATECH_DATA,AR_OPTION_ID,ORATECHCANNON
ORDERPADHEAD_NAME_UK1,NORMAL,AR_ORDERPAD_HEADERS,TABLE,ORATECH_DATA,ORDERPAD_NAME,ORATECHCANNON
ORDPADHEAD_PK,NORMAL,AR_ORDERPAD_HEADERS,TABLE,ORATECH_DATA,ORDERPAD_HEADER_ID,ORATECHCANNON
ORDPAD_DELIVERTOCONTACT_NDX,NORMAL,AR_ORDERPAD_HEADERS,TABLE,ORATECH_INDX,DELIVERTO_CONTACT_ID,ORATECHCANNON
ORDERPADLINE_PK,NORMAL,AR_ORDERPAD_LINES,TABLE,ORATECH_DATA,ORDERPAD_LINE_ID,ORATECHCANNON
ARPMNTH_PK,NORMAL,AR_PAYMENT_HEADERS,TABLE,ORATECH_DATA,PAYMENT_HEADER_ID,ORATECHCANNON
ARPMNTH_UK1,NORMAL,AR_PAYMENT_HEADERS,TABLE,ORATECH_DATA,PAYMENT_NUMBER,ORATECHCANNON
ARPMNT_ENTRYMETHOD_NDX,NORMAL,AR_PAYMENT_HEADERS,TABLE,ORATECH_INDX,ENTRY_METHOD,ORATECHCANNON
ARPMNTL_NEW_UK1,NORMAL,AR_PAYMENT_LINES,TABLE,ORATECH_DATA,PAYMENT_HEADER_ID~INVOICE_HEADER_ID~PMNT_METHOD_ID,ORATECHCANNON
ARPMNTL_PK,NORMAL,AR_PAYMENT_LINES,TABLE,ORATECH_DATA,PAYMENT_LINE_ID,ORATECHCANNON
ARPMNT_DUPINVOICEID,NORMAL,AR_PAYMENT_LINES,TABLE,ORATECH_INDX,PAYMENT_HEADER_ID~INVOICE_HEADER_ID~,ORATECHCANNON
ARREPAYMENT_PK,NORMAL,AR_REPAYMENT_LINES,TABLE,ORATECH_DATA,REPAYMENT_LINE_ID,ORATECHCANNON
ARSALCRGRP_PK,NORMAL,AR_SALCR_GROUPS,TABLE,ORATECH_DATA,SALCR_GROUP_ID,ORATECHCANNON
ARSALCRGRP_UK1,NORMAL,AR_SALCR_GROUPS,TABLE,ORATECH_DATA,SALCR_GROUP_NAME,ORATECHCANNON
ARSALCRGRPM_PK,NORMAL,AR_SALCR_GROUP_MEMBERS,TABLE,ORATECH_DATA,SALCR_GROUP_MEMBER_ID,ORATECHCANNON
AR_SALH_PK,NORMAL,AR_SALESORDER_HEADERS,TABLE,ORATECH_DATA,ORDER_HEADER_ID,ORATECHCANNON
AR_SALH_UK1,NORMAL,AR_SALESORDER_HEADERS,TABLE,ORATECH_DATA,ORDER_NUMBER,ORATECHCANNON
ARSALORDERIMP_NDX1,NORMAL,AR_SALESORDER_IMPORT,TABLE,ORATECH_INDX,BATCH_NAME,ORATECHCANNON
ARSALORDERIMP_NDX2,NORMAL,AR_SALESORDER_IMPORT,TABLE,ORATECH_INDX,BATCH_NAME~IMPORT_STATUS~,ORATECHCANNON
ARSALORDERIMP_PK,NORMAL,AR_SALESORDER_IMPORT,TABLE,ORATECH_DATA,IMPORT_ID,ORATECHCANNON
ARSALORDIMP_WEBORD,NORMAL,AR_SALESORDER_IMPORT,TABLE,ORATECH_INDX,CUSTOMER_ID~T_ORDERNUMBER~,ORATECHCANNON
ARORDLINEHEADERID,NORMAL,AR_SALESORDER_LINES,TABLE,ORATECH_INDX,ORDER_HEADER_ID,ORATECHCANNON
ARORDLINE_ITEMID_NDX,NORMAL,AR_SALESORDER_LINES,TABLE,ORATECH_INDX,ITEM_ID,ORATECHCANNON
ARSALORD_READYTODELITNDX,NORMAL,AR_SALESORDER_LINES,TABLE,ORATECH_INDX,ORDER_HEADER_ID~PHASE_CODE~T_ORDERNUMBER~ITEM_ID~,ORATECHCANNON
ARSALORD_READYTODELNDX,NORMAL,AR_SALESORDER_LINES,TABLE,ORATECH_INDX,ORDER_HEADER_ID~PHASE_CODE~T_ORDERNUMBER,ORATECHCANNON
ARSOLINE_PK,NORMAL,AR_SALESORDER_LINES,TABLE,ORATECH_DATA,ORDER_LINE_ID,ORATECHCANNON
ARPICKLIST_PK,NORMAL,AR_SALESORDER_PICKLIST,TABLE,ORATECH_DATA,PICKLIST_ID,ORATECHCANNON
ARSOSTAT_PK,NORMAL,AR_SALESORDER_STATUSES,TABLE,ORATECH_DATA,STATUS_ID,ORATECHCANNON
ARSALPER_PK,NORMAL,AR_SALES_PERSONS,TABLE,ORATECH_DATA,SALES_PERSON_ID,ORATECHCANNON
ARSALPER_UK3,NORMAL,AR_SALES_PERSONS,TABLE,ORATECH_DATA,SALES_PERSON_NUMBER,ORATECHCANNON
ARSOIMPBATCH_PK,NORMAL,AR_SOIMPORT_BATCH,TABLE,ORATECH_DATA,BATCH_ID,ORATECHCANNON
ARSOIMPBATCH_UK1,NORMAL,AR_SOIMPORT_BATCH,TABLE,ORATECH_DATA,BATCH_NAME,ORATECHCANNON
AUDITMINUSSTOCK_NDX1,NORMAL,AUDIT_MINUSSTOCK,TABLE,ORATECH_INDX,LOCATION_ID~SUB_LOCATION_ID~ITEM_ID,ORATECHCANNON
INVMINSTOCK_PK,NORMAL,AUDIT_MINUSSTOCK,TABLE,ORATECH_DATA,MINUSSTOCK_ID,ORATECHCANNON
AUDITSTOCK_NDX1,NORMAL,AUDIT_STOCK_HISTORY,TABLE,ORATECH_INDX,LOCATION_ID~ITEM_ID~,ORATECHCANNON
SYS_C00130100,NORMAL,AUTH_GROUP,TABLE,ORATECH_DATA,ID,ORATECHCANNON
SYS_C00130101,NORMAL,AUTH_GROUP,TABLE,ORATECH_DATA,NAME,ORATECHCANNON
AUTH_GROUP_GROUP_ID_B120CBF9,NORMAL,AUTH_GROUP_PERMISSIONS,TABLE,ORATECH_DATA,GROUP_ID,ORATECHCANNON
AUTH_GROUP_PERMISSION_84C5C92E,NORMAL,AUTH_GROUP_PERMISSIONS,TABLE,ORATECH_DATA,PERMISSION_ID,ORATECHCANNON
AUTH_GROU_GROUP_ID__0CD325B0_U,NORMAL,AUTH_GROUP_PERMISSIONS,TABLE,ORATECH_DATA,GROUP_ID~PERMISSION_ID~,ORATECHCANNON
SYS_C00130105,NORMAL,AUTH_GROUP_PERMISSIONS,TABLE,ORATECH_DATA,ID,ORATECHCANNON
AUTH_PERMI_CONTENT_TY_2F476E4B,NORMAL,AUTH_PERMISSION,TABLE,ORATECH_DATA,CONTENT_TYPE_ID,ORATECHCANNON
AUTH_PERM_CONTENT_T_01AB375A_U,NORMAL,AUTH_PERMISSION,TABLE,ORATECH_DATA,CONTENT_TYPE_ID~CODENAME~,ORATECHCANNON
SYS_C00130098,NORMAL,AUTH_PERMISSION,TABLE,ORATECH_DATA,ID,ORATECHCANNON
CMNINFOS_NDX1,NORMAL,CMN_ADDITIONAL_INFO,TABLE,ORATECH_INDX,INFO_SOURCE~INFO_SOURCE_ID~INFO_TYPE_CODE,ORATECHCANNON
CMNINFO_PK,NORMAL,CMN_ADDITIONAL_INFO,TABLE,ORATECH_DATA,INFO_ID,ORATECHCANNON
CMNALERT_NDX1,NORMAL,CMN_ALERTS,TABLE,USERS,SOURCE~SOURCE_ID~NAME~ALERT_EVENT~,ORATECHCANNON
CMNALERT_NDX2,NORMAL,CMN_ALERTS,TABLE,USERS,SOURCE~SOURCE_ID~START_DATE_ACTIVE~END_DATE_ACTIVE~,ORATECHCANNON
CMNALERT_PK,NORMAL,CMN_ALERTS,TABLE,ORATECH_DATA,ALERT_ID,ORATECHCANNON
CAL_PK,NORMAL,CMN_AUDIT_LOGINS,TABLE,ORATECH_DATA,ID,ORATECHCANNON
CB_BANKS_NAME_UK1_UK,NORMAL,CMN_BANKS,TABLE,ORATECH_DATA,BANK_NAME,ORATECHCANNON
CB_PK,NORMAL,CMN_BANKS,TABLE,ORATECH_DATA,BANK_ID,ORATECHCANNON
CBA_BANK_BRANCH_UK1_UK,NORMAL,CMN_BANK_ACCOUNTS,TABLE,ORATECH_DATA,BRANCH_CODE~BRANCH_ACCTNUMBER~,ORATECHCANNON
CBA_BANK_BRANCH_UK2_UK,NORMAL,CMN_BANK_ACCOUNTS,TABLE,ORATECH_DATA,BRANCH_DESC,ORATECHCANNON
CBA_PK,NORMAL,CMN_BANK_ACCOUNTS,TABLE,ORATECH_DATA,BANK_ACCOUNT_ID,ORATECHCANNON
CBC_CHEQUE_UK1_UK,NORMAL,CMN_BANK_CHEQUES,TABLE,ORATECH_DATA,CBA_BANK_ACCOUNT_ID~CHEQUE_NO_FROM~,ORATECHCANNON
CBC_PK,NORMAL,CMN_BANK_CHEQUES,TABLE,ORATECH_DATA,BANK_ID~CBA_BANK_ACCOUNT_ID~,ORATECHCANNON
CBS_PK,NORMAL,CMN_BANK_STATEMENTS,TABLE,ORATECH_DATA,CBS_ID,ORATECHCANNON
CBS1_PK,NORMAL,CMN_BUSINESS_SECTORS,TABLE,ORATECH_DATA,CBS1_ID,ORATECHCANNON
CBU_PK,NORMAL,CMN_BUSINESS_UNITS,TABLE,ORATECH_DATA,BU_ID,ORATECHCANNON
CMNCALENDAR_NDX1,NORMAL,CMN_CALENDAR,TABLE,ORATECH_INDX,YEAR~CC_DATE~,ORATECHCANNON
CMNCALENDAR_NDX2,NORMAL,CMN_CALENDAR,TABLE,ORATECH_INDX,CC_DATE,ORATECHCANNON
CMNCALENDAR_PK,NORMAL,CMN_CALENDAR,TABLE,ORATECH_DATA,CC_ID,ORATECHCANNON
CMNCARDS_PK,NORMAL,CMN_CARDS,TABLE,ORATECH_DATA,CARD_ID,ORATECHCANNON
CMNCARDS_UK1,NORMAL,CMN_CARDS,TABLE,ORATECH_DATA,CARD_NUMBER,ORATECHCANNON
CARDOPTIONS_PK,NORMAL,CMN_CARD_OPTIONS,TABLE,ORATECH_DATA,CARD_OPTIONS_ID,ORATECHCANNON
CARDOPTIONS_UK1,NORMAL,CMN_CARD_OPTIONS,TABLE,ORATECH_DATA,CARD_PREFIX_CODE,ORATECHCANNON
CARDOPTIONS_UK2,NORMAL,CMN_CARD_OPTIONS,TABLE,ORATECH_DATA,CARD_CATEGORY_CODE,ORATECHCANNON
CLOCKINOUT_PK,NORMAL,CMN_CLOCKINOUT,TABLE,ORATECH_DATA,CLOCKINOUT_ID,ORATECHCANNON
COMMODITYCODE_PK,NORMAL,CMN_COMMODITY_CODES,TABLE,ORATECH_DATA,CCC_ID,ORATECHCANNON
COMMODITYCODE_UK1,NORMAL,CMN_COMMODITY_CODES,TABLE,ORATECH_DATA,COMMODITY_CODE,ORATECHCANNON
COMMODITYRATE_PK,NORMAL,CMN_COMMODITY_RATES,TABLE,ORATECH_DATA,CCR_ID,ORATECHCANNON
CMNCOMM_NDX1,NORMAL,CMN_COMMUNICATIONS,TABLE,USERS,SOURCE~SOURCE_ID~NAME,ORATECHCANNON
CMNCOMM_PK,NORMAL,CMN_COMMUNICATIONS,TABLE,ORATECH_DATA,COMMUNICATION_ID,ORATECHCANNON
CC_PK,NORMAL,CMN_COMPANIES,TABLE,ORATECH_DATA,COMP_ID,ORATECHCANNON
CMNCONTACTS_NDX1,NORMAL,CMN_CONTACTS,TABLE,ORATECH_INDX,CONTACT_SOURCE~CONTACT_SOURCE_ID~CONTACT_GROUP_CODE,ORATECHCANNON
CMNCONTACT_PK,NORMAL,CMN_CONTACTS,TABLE,ORATECH_DATA,CONTACT_ID,ORATECHCANNON
CMNPERMISSIONS_NDX1,NORMAL,CMN_CONTACT_PERMISSIONS,TABLE,ORATECH_INDX,PERMISSION_SOURCE~PERMISSION_SOURCE_ID~,ORATECHCANNON
CMNPERMISSION_PK,NORMAL,CMN_CONTACT_PERMISSIONS,TABLE,ORATECH_DATA,PERMISSION_ID,ORATECHCANNON
CMC_PK,NORMAL,CMN_CONTAINERS,TABLE,ORATECH_DATA,PC_ID,ORATECHCANNON
CM_DUPLICATE_CONTAINER_NAME_UK,NORMAL,CMN_CONTAINERS,TABLE,ORATECH_DATA,PC_NAME,ORATECHCANNON
PCCONT_DEF_UK,NORMAL,CMN_CONTAINERS,TABLE,ORATECH_DATA,PC_DEFAULT_TYPE,ORATECHCANNON
CCO_CCO_UK1_UK,NORMAL,CMN_COUNTRIES,TABLE,ORATECH_DATA,COUNTRY_NAME,ORATECHCANNON
CCO_PK,NORMAL,CMN_COUNTRIES,TABLE,ORATECH_DATA,COUNTRY_CODE,ORATECHCANNON
CC1_PK,NORMAL,CMN_CURRENCIES,TABLE,ORATECH_DATA,CURRENCY_CODE~CUR_COUNTRY~,ORATECHCANNON
CCR_PK,NORMAL,CMN_CURRENCY_RATES,TABLE,ORATECH_DATA,FROM_CURRENCY_CODE~CURRENCY_RATE_DATE~TO_CURRENCY_CODE,ORATECHCANNON
CF_CFN_UK2_UK,NORMAL,CMN_FUNCTIONS,TABLE,ORATECH_DATA,FUNC_DISP_NAME,ORATECHCANNON
CF_CFN_UK_UK,NORMAL,CMN_FUNCTIONS,TABLE,ORATECH_DATA,FUNC_SHORT_NAME,ORATECHCANNON
CF_PK,NORMAL,CMN_FUNCTIONS,TABLE,ORATECH_DATA,FUNCTION_ID,ORATECHCANNON
CMNGRANT_PRIV_PK,NORMAL,CMN_GRANTED_PRIVS,TABLE,ORATECH_DATA,GRANTED_PRIV_ID,ORATECHCANNON
CMNIMPBATCH_PK,NORMAL,CMN_IMPORT_BATCH,TABLE,ORATECH_DATA,BATCH_ID,ORATECHCANNON
CMNIMPBATCH_UK1,NORMAL,CMN_IMPORT_BATCH,TABLE,ORATECH_DATA,BATCH_NAME,ORATECHCANNON
CMN_LANG_PK,NORMAL,CMN_LANGUAGES,TABLE,ORATECH_DATA,LANGUAGE_CODE,ORATECHCANNON
CMNLANGTEXTS_PK,NORMAL,CMN_LANGUAGE_TEXTS,TABLE,ORATECH_DATA,LANGUAGE_CODE~SOURCE_OBJECT~SOURCE_OBJECT_IDENTIFIER~SOURCE_OBJECT_ID~,ORATECHCANNON
CLU_PK,NORMAL,CMN_LOGGEDIN_USERS,TABLE,ORATECH_DATA,CU_USER_ID,ORATECHCANNON
CLC_PK,NORMAL,CMN_LOOKUP_CODES,TABLE,ORATECH_DATA,CLT_LOOKUP_TYPE~LOOKUP_CODE~,ORATECHCANNON
CMNLKUPLINK_PK,NORMAL,CMN_LOOKUP_LINKS,TABLE,ORATECH_DATA,CLL_ID,ORATECHCANNON
CMNLKUPLINK_UK,NORMAL,CMN_LOOKUP_LINKS,TABLE,ORATECH_DATA,LOOKUP_TYPE~LOOKUP_CODE~SL_NO,ORATECHCANNON
CLT_PK,NORMAL,CMN_LOOKUP_TYPES,TABLE,ORATECH_DATA,LOOKUP_TYPE,ORATECHCANNON
CMNMAILMERGEH_PK,NORMAL,CMN_MAILMERGE_HEADERS,TABLE,ORATECH_DATA,MERGE_HEADER_ID,ORATECHCANNON
CMNMAILMERGEL_PK,NORMAL,CMN_MAILMERGE_LINES,TABLE,ORATECH_DATA,MERGE_LINE_ID,ORATECHCANNON
CMNMENU_UK3,NORMAL,CMN_MENUS,TABLE,ORATECH_DATA,PARENT_MENU_ID~MENU_NAME~,ORATECHCANNON
CM_PK,NORMAL,CMN_MENUS,TABLE,ORATECH_DATA,MENU_ID,ORATECHCANNON
CMR_PK,NORMAL,CMN_MENU_RESPONSIBILITIES,TABLE,ORATECH_DATA,MENU_RESP_ID,ORATECHCANNON
CML_CMN_MODULE_UK_UK,NORMAL,CMN_MODULES,TABLE,ORATECH_DATA,MODULE_NAME,ORATECHCANNON
CML_PK,NORMAL,CMN_MODULES,TABLE,ORATECH_DATA,MODULE_ID,ORATECHCANNON
