VIEW_NAME,TEXT,TEXT_LENGTH,DATASOURCE
AP_DBNOTE_LINES_V,"Select ""GL_ACCOUNT_CODE"",""EXCHANGE_RATE"",""SUB_LOCATION_ID"",""RECORD_STATUS"",""DBNOTE_ID"",""ITEM_ID"",""ITEM_NAME"",""CREATION_DATE"",""CREATED_BY"",""BU_ID"",""SOURCE_REF_ID1"",""SOURCE_REF_ID2"",""QTY_DBNOTE_UNITS"",""UNIT_CP"",""CASE_CP"",""CASE_SIZE"",""NET_PRICE"",""TAX_PRICE"",""DISCOUNT_PRICE"",""LAST_UPDATE_DATE"",""INVOICED_PRICE"",""DBNOTE_STATUS_DATE"",""DBNOTE_LINE_DESC"",""SUP_PRODUCT_CODE"",""QTY_INSTOCK"",""DBNOTE_STATUS"",""DETAIL_COMMENTS"",""DBNOTE_ADD_REDUCE"",""TAX_RATE"",""DELETE_FLAG"",""TAX_CODE_ID"",""ATTRIBUTE1"",""ATTRIBUTE2"",""UPDATE_SOURCE"",""DBNOTE_LINE_ID"",""QTY_ORDERED_UNITS"",""QTY_DELIVERED_UNITS"",""QTY_RECEIVED_UNITS"",""QTY_INVOICED_UNITS"",""RECEIPT_PRICE"",""PO_HEADER_ID"",""PO_LINE_ID"",""SL_NO"",""LINE_TYPE"",""LAST_UPDATED_BY"",""DBNOTE_REASON"",""ORDER_PRICE"",""LOCATION_ID"",""ADJUST_STOCK"" from AP_DBNOTE_LINES",778,ORATECHCANNON
AP_INVOICE_HEADERS_V,"Select ""INVOICE_TYPE"",""PMNT_METHOD_ID"",""VAT_TOTAL"",""NET_TOTAL"",""PAYMENT_CURRENCY_CODE"",""INVOICE_CURRENCY_CODE"",""INVOICE_NUMBER"",""SUP_SUPPLIER_ID"",""UPDATE_SOURCE"",""DELETE_FLAG"",""CANCELLED_AMOUNT"",""CANCELLED_BY"",""CANCELLED_DATE"",""AUTHORIZED_BY"",""EXCHANGE_RATE"",""APPROVED_AMOUNT"",""VOUCHER_NUM"",""INVOICE_RECEIVED_DATE"",""GRN_ID"",""GRN_DATE"",""PO_HEADER_ID"",""SHIPTO_LOCATION_ID"",""INVOICE_USER_ID"",""BILLTO_LOCATION_ID"",""INVOICE_STATUS"",""NOTES1"",""TRANS_CATEGORY"",""BATCH_NAME"",""PAID_TOTAL"",""BALANCE_TOTAL"",""GROSS_TOTAL"",""CPT_ID"",""DISCOUNT_TOTAL"",""GL_ACCOUNT_CODE"",""DESCRIPTION"",""NOTES2"",""INVOICE_DATE"",""CARRIAGE_TOTAL"",""GL_ACCOUNTING_DATE"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""INVOICE_ID"",""BU_ID"",""CREATED_BY"",""CREATION_DATE"",""INVOICE_STATUS_DATE"",""GL_ACCOUNT_ID"",""FILE_NAME"",""GROSS_TOTAL_FC"",""NET_TOTAL_FC"",""DBNOTE_ID"" from AP_INVOICE_HEADERS",833,ORATECHCANNON
AP_INVOICE_LINES_V,"Select ""TAX_AMOUNT"",""NET_AMOUNT"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""INVOICE_ID"",""INVOICE_AMOUNT_EXL_TAX"",""CASE_SIZE"",""UNIT_CP"",""CASE_CP"",""TAX_RATE"",""DISCOUNT_AMOUNT"",""INVOICE_AMOUNT"",""SL_NO"",""CARRIAGE_AMOUNT"",""TOTAL_LINE_AMOUNT"",""UNIT"",""TAX_CODE_ID"",""QTY_INVOICED_UNITS"",""UPDATE_SOURCE"",""CANCELLED_AMOUNT"",""CANCELLED_BY"",""CANCELLED_DATE"",""EXCHANGE_RATE"",""GRN_LINE_ID"",""GRN_ID"",""PO_LINE_ID"",""PO_HEADER_ID"",""DELETE_FLAG"",""BU_ID"",""CREATED_BY"",""CREATION_DATE"",""INVOICE_LINE_STATUS_DATE"",""INVOICE_LINE_STATUS"",""GL_ACCOUNT_CODE"",""ITEM_NAME"",""ITEM_ID"",""DESCRIPTION"",""NOTES1"",""INVOICE_LINE_TYPE"",""INVOICE_LINE_ID"",""GL_ACCOUNT_ID"",""TOTAL_LINE_AMOUNT_FC"",""NET_AMOUNT_FC"",""INVOICE_AMOUNT_FC"",""TAX_LINE_FLAG"",""DBNOTE_LINE_ID"" from AP_INVOICE_LINES",738,ORATECHCANNON
AP_OPTIONS_V,"Select ""BATCH_FORMAT"",""COMPANY_ID"",""OPTION_TYPE"",""REJECTION_SUB_LOCATION_NAME"",""GRN_TOLERANCE_PERCENTAGE"",""LOCATION_ID"",""PERIOD_HEADER_ID"",""GRN_TOLERANCE_TYPE"",""INVOICE_MATCHING_OPTION"",""PMNT_METHOD_ID"",""CPT_ID"",""PRINT_OUTPUT_PATH"",""GRN_SYNCHRONISED_ON"",""PO_SYNCHRONISED_ON"",""SHIPTO_LOCATION_ID"",""BILLTO_LOCATION_ID"",""PRINTER_COPIES"",""PRINTER_ID"",""SUGGESTED_FORMULA_TEXT"",""SUGGESTED_QTY_FORMULA"",""CALCULATE_SUGGESTED_ORDER"",""ITEMS_RECEIPT_TYPE"",""COST_PRICE_FORMULA"",""ADD_OUTSORDER_QTY"",""GOODS_IN_QTY_TO_ZERO"",""FOLLOW_UP_PO"",""SUPPLIER_ID"",""UPDATE_SOURCE"",""RECORD_STATUS"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""CREATION_DATE"",""DELETE_FLAG"",""CREATED_BY"",""BU_ID"",""AP_OPTIONS_ID"",""AUTO_DBN_FROM_GRN"",""WHAT_PRICE_TO_GRN"",""GRN_UNAPPROVED_SUB_LOCATION"",""GRN_APPROVED_SUB_LOCATION"",""BANK_ACCOUNT_ID"",""PRINT_SUPPLIER_NOTE2"",""PRINT_SUPPLIER_NOTE1"",""PRINT_NOTE_CRITERIA"",""INVOICE_IMAGE_PATH"",""AUTO_BATCH_ON_GRN"",""SUPPLIER_NUMBERING"",""WHAT_PRICE_TO_PO"",""PRINT_SPLIT_CASE"" from AP_OPTIONS",973,ORATECHCANNON
AP_OTHERFINDCRITERIA_V,"select 'Todays' idvalue ,'Sysdate - Invoice_Date = 0' id from dual
union
select 'Yesterday' idvalue ,'Sysdate - Invoice_Date = 1' id from dual
union
select 'Last 30 days' idvalue ,'Sysdate - Invoice_Date <=30' id from dual
union
select 'Last 45 days' idvalue ,'Sysdate - Invoice_Date <=45' id from dual
union
select 'Last 60 days' idvalue ,'Sysdate - Invoice_Date <=60' id from dual
union
select 'Last 90 days' idvalue ,'Sysdate - Invoice_Date <=90' id from dual
union
select 'Last 120 days' idvalue ,'Sysdate - Invoice_Date <=120' id from dual
union
select 'Last 180 days' idvalue ,'Sysdate - Invoice_Date <=180' id from dual
union
select '7 days older' idvalue ,'Sysdate - Invoice_Date >= 7' id from dual
union
select '15 days older' idvalue ,'Sysdate - Invoice_Date >= 15' id from dual
union
select '30 days older' idvalue ,'Sysdate - Invoice_Date >= 30' id from dual
union
select '45 days older' idvalue ,'Sysdate - Invoice_Date >= 45' id from dual
union
select '60 days older' idvalue ,'Sysdate - Invoice_Date >= 60' id from dual
union
select '90 days older' idvalue ,'Sysdate - Invoice_Date >= 90' id from dual
union
select '120 days older' idvalue ,'Sysdate - Invoice_Date >= 120' id from dual
union
select '180 days older' idvalue ,'Sysdate - Invoice_Date >= 180' id from dual
union
select 'Invoice with Balances' idvalue ,'Nvl(BAlance_total,0) <> 0 ' id from dual
union
select 'Fully Paid Invoices' idvalue ,'Nvl(BAlance_total,0)  = 0' id from dual
Union
Select 'Supplier Has Email' idvalue,'Supplier_ID in (Select  s.supplier_id from AP_SUPPLIERS s Where s.email is not null) '  id from dual
Union
Select 'Supplier Has No Email' idvalue,'Supplier_ID in (Select  s.supplier_id from AP_SUPPLIERS s Where s.email is  null) '  id from dual
union
select 'Unpaid Invoices Past Due Date' idvalue ,'Balance_Total <> 0 and AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID) < Trunc(sysdate)' id from dual
union
select 'Unpaid Invoices Past Due Date By 7 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >=7 ' id from dual
union
select 'Unpaid Invoices Past Due Date By 15 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >= 15' id from dual
union
select 'Unpaid Invoices Past Due Date By 30 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >= 30' id from dual
union
select 'Unpaid Invoices Past Due Date By 45 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >= 45' id from dual
union
select 'Unpaid Invoices Past Due Date By 60 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >= 60' id from dual
union
select 'Unpaid Invoices Past Due Date By 90 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >= 90' id from dual
union
select 'Unpaid Invoices Past Due Date By 120 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >= 120' id from dual
union
select 'Unpaid Invoices Past Due Date By 150 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >= 150' id from dual
union
select 'Unpaid Invoices Past Due Date By 180 days' idvalue ,'Balance_Total <> 0 and (Sysdate - AP_Pkg.Get_InvoiceDuedate(Sup_Supplier_ID,Invoice_ID)) >= 180' id from dual
",3488,ORATECHCANNON
AP_PAYMENT_HEADERS_V,"Select ""PAYMENT_DATE"",""CONTACT_DETAILS"",""COUNTRY_CODE"",""COUNTY"",""CITY"",""POST_CODE"",""ADDRESS"",""NAME_ON_CARD"",""SECURITY_CODE"",""ISSUE_NUMBER"",""VALID_FROM"",""EXPIRY_DATE"",""AUTHORISATION_NUMBER"",""CARD_TYPE"",""CARD_NUMBER"",""PAYMENT_NUMBER"",""PAYMENT_CURRENCY_CODE"",""BANK_CURRENCY_CODE"",""BANK_ACCOUNT_ID"",""BANK_ID"",""GL_ACCOUNTING_DATE"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""BU_ID"",""CREATED_BY"",""CREATION_DATE"",""PAYMENT_STATUS_DATE"",""PAYMENT_STATUS"",""GL_ACCOUNT_CODE"",""PMNT_METHOD_ID"",""DESCRIPTION"",""NOTES2"",""NOTES1"",""TRANS_CATEGORY"",""BATCH_NAME"",""PAYMENT_TYPE"",""UPDATE_SOURCE"",""DELETE_FLAG"",""EXCHANGE_RATE"",""PAID_AMOUNT"",""PAYMENT_USER_ID"",""PAYMENT_HEADER_ID"",""BATCH_AMOUNT"" from AP_PAYMENT_HEADERS",687,ORATECHCANNON
AP_PAYMENT_LINES_V,"Select ""PAYMENT_HEADER_ID"",""CHEQUE_NUMBER"",""INVOICE_AMOUNT_PAIDCURR"",""INVOICE_AMOUNT_BASE"",""UPDATE_SOURCE"",""CANCELLED_AMOUNT"",""CANCELLED_BY"",""CANCELLED_DATE"",""EXCHANGE_RATE"",""DELETE_FLAG"",""BU_ID"",""CREATED_BY"",""CREATION_DATE"",""PAYMENT_LINE_STATUS_DATE"",""PAYMENT_LINE_STATUS"",""GL_ACCOUNT_CODE"",""DESCRIPTION"",""NOTES"",""PYMENT_LINE_TYPE"",""PAYMENT_LINE_ID"",""SL_NO"",""DISCOUNT_AMOUNT"",""SUP_SUPPLIER_ID"",""PAYMENT_AMOUNT"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""INVOICE_ID"",""PMNT_METHOD_ID"",""PAYMENT_LINE_TYPE"",""PAYMENT_TRANS_ID"" from AP_PAYMENT_LINES",539,ORATECHCANNON
AP_SUPPLIERCONTACTS_V,"Select sup.""DELETE_FLAG"",sup.""HOLD_REASON"",sup.""SUPPLIER_HOLD"",sup.""CONTACT_NAME2"",sup.""WWW"",sup.""MOBILE"",sup.""LEAD_TIME"",sup.""MIN_ORDER_AMOUNT"",sup.""EMAIL"",sup.""FAX"",sup.""PHONE2"",sup.""PHONE1"",sup.""POST_CODE"",sup.""COUNTY"",sup.""CITY"",sup.""ADDRESS_LINE3"",sup.""ADDRESS_LINE2"",sup.""ADDRESS_LINE1"",sup.""SUPPLIER_NUMBER"",sup.""CONTACT_NAME"",sup.""SUPPLIER_NAME"",sup.""SUPPLIER_ID"",sup.""UPDATE_SOURCE"",sup.""ATTRIBUTE2"",sup.""ATTRIBUTE1"",sup.""LAST_UPDATED_BY"",sup.""LAST_UPDATE_DATE"",sup.""RECORD_STATUS"",sup.""LAST_ORDERED_DATE"",sup.""ORDER_CYCLE_TYPE"",sup.""ORDER_CYCLE"",sup.""SHORT_NAME"",sup.""BU_ID"",sup.""CREATION_DATE"",sup.""COUNTRY_CODE"",sup.""CURRENCY_CODE"",sup.""PMNT_METHOD_ID"",sup.""CPT_ID"",sup.""ORIG_SYSTEM_REF_HDR"",sup.""PO_CONDITION"",sup.""GAC_GL_ACCOUNT_ID"",sup.""ORIG_SYSTEM_REF"",sup.""PRIMARY_SUPPLIER_ID"",sup.""ORDER_QTY_TYPE"",sup.""ASP_SUP_PROFILE_ID"",sup.""CMC_PC_ID"",sup.""CTC_TAX_CODE_ID"",sup.""ACCOUNT_NUMBER"",sup.""BALANCE"",sup.""PAID_AMOUNT"",sup.""INVOICED_AMOUNT"",sup.""SUP_VATREGNO"",sup.""CREATED_BY"",sup.""LOCATION_ID"",sup.""SUPPLIER_CATEGORY_CODE"",sup.""ITEM_PREFIX"",sup.""PO_PREFERENCE"",sup.""MKUPTEMP_ID"",sup.""CUSTOMER_ID"",sup.""PO_ALLOWED"",sup.""BACK_ORDER_TYPE"",sup.""SAFETY_NET_DAYS"", con.""CON_IDENTIFIER"",con.""CON_INCLUDE_IN_MAILSHOT"",con.""CON_CONTACT_METHOD_CODE"",con.""CON_NAME"",con.""CON_ACTIVE"",con.""CON_EMAIL"",con.""CON_FAX_OTHERS"",con.""CON_FAX_BUSINESS"",con.""CON_PHONE_OTHERS"",con.""CON_PHONE_MOBILE"",con.""CON_PHONE_BUSINESS"",con.""CON_PHONE_HOME"",con.""CON_POST_CODE"",con.""CON_COUNTRY_CODE"",con.""CON_COUNTY"",con.""CON_CITY"",con.""CON_ADDRESS"",con.""CONTACT_TYPE_CODE"",con.""CONTACT_GROUP_CODE"",con.""CONTACT_SOURCE_ID"",con.""CON_CONTACT_ID"",con.""CONTACT_SOURCE"",con.""CON_UPDATE_SOURCE"",con.""CON_DELETE_FLAG"",con.""CON_BU_ID"",con.""CON_CREATED_BY"",con.""CON_CREATION_DATE"",con.""CON_LAST_UPDATED_BY"",con.""CON_LAST_UPDATE_DATE"",con.""CON_RECORD_STATUS""
 From   AP_SUPPLIERS_V sup, Cmn_ContactsBase_V con
 Where  nvl(con.Contact_Source,'SUPPLIER') = 'SUPPLIER'
 And    sup.supplier_Id = con.Contact_Source_ID (+)",1988,ORATECHCANNON
AP_SUPPLIERS_V,"Select ""DELETE_FLAG"",""HOLD_REASON"",""SUPPLIER_HOLD"",""CONTACT_NAME2"",""WWW"",""MOBILE"",""LEAD_TIME"",""MIN_ORDER_AMOUNT"",""EMAIL"",""FAX"",""PHONE2"",""PHONE1"",""POST_CODE"",""COUNTY"",""CITY"",""ADDRESS_LINE3"",""ADDRESS_LINE2"",""ADDRESS_LINE1"",""SUPPLIER_NUMBER"",""CONTACT_NAME"",""SUPPLIER_NAME"",""SUPPLIER_ID"",""UPDATE_SOURCE"",""ATTRIBUTE2"",""ATTRIBUTE1"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""RECORD_STATUS"",""LAST_ORDERED_DATE"",""ORDER_CYCLE_TYPE"",""ORDER_CYCLE"",""SHORT_NAME"",""BU_ID"",""CREATION_DATE"",""COUNTRY_CODE"",""CURRENCY_CODE"",""PMNT_METHOD_ID"",""CPT_ID"",""ORIG_SYSTEM_REF_HDR"",""PO_CONDITION"",""GAC_GL_ACCOUNT_ID"",""ORIG_SYSTEM_REF"",""PRIMARY_SUPPLIER_ID"",""ORDER_QTY_TYPE"",""ASP_SUP_PROFILE_ID"",""CMC_PC_ID"",""CTC_TAX_CODE_ID"",""ACCOUNT_NUMBER"",""BALANCE"",""PAID_AMOUNT"",""INVOICED_AMOUNT"",""SUP_VATREGNO"",""CREATED_BY"",""LOCATION_ID"",""SUPPLIER_CATEGORY_CODE"",""ITEM_PREFIX"",""PO_PREFERENCE"",""MKUPTEMP_ID"",""CUSTOMER_ID"",""PO_ALLOWED"",""BACK_ORDER_TYPE"",""SAFETY_NET_DAYS"" from AP_SUPPLIERS",941,ORATECHCANNON
AP_SUPPLIER_PRICE_LISTS_V,"Select ""SUPPLIER_PRODUCT_DESC"",""PREFERENCE_CODE"",""UPDATE_SOURCE"",""RECORD_STATUS"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""CREATION_DATE"",""CREATED_BY"",""ALTERNATE_UNIT_CP"",""ALTERNATE_CASE_CP"",""SUPPLIER_PRODUCT_CODE"",""DELETE_FLAG"",""REORDER_QTY"",""CASE_UNIT"",""BU_ID"",""SUPPLIER_ID"",""UNIT_CP"",""CASE_CP"",""ITEM_ID"",""PRICE_LIST_ID"" from AP_SUPPLIER_PRICE_LISTS",347,ORATECHCANNON
AP_SUPPLIER_PRICE_LISTS_VA,"select il.item_number,il.item_name,spl.Price_List_Id
       ,spl.Item_Id,spl.Case_Cp,spl.Unit_Cp,spl.Supplier_Id
       ,spl.Bu_Id,spl.Case_Unit,spl.Reorder_Qty,spl.Delete_Flag
       ,spl.Supplier_Product_Code,spl.Alternate_Case_Cp
       ,spl.Alternate_Unit_Cp,spl.Created_By,spl.Creation_Date
       ,spl.Last_Update_Date,spl.Last_Updated_By,spl.Record_Status
       ,spl.Update_Source,spl.Preference_Code,spl.Supplier_Product_Desc,
       il.Category_name,
       Inv_pkg.GetSupplierName(spl.Supplier_Id) Supplier_name,
       il.Sub_Category_name
from   inv_Item_Masters_va il, Ap_Supplier_Price_Lists spl
Where  il.Item_Id = spl.Item_Id",642,ORATECHCANNON
AP_SUPPLIER_PROFILES_V,"Select ""END_DATE"",""UPDATE_SOURCE"",""RECORD_STATUS"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""CREATION_DATE"",""CREATED_BY"",""DELETE_FLAG"",""BU_ID"",""SUP_PROFILE_NAME"",""SUP_PROFILE_ID"" from AP_SUPPLIER_PROFILES",199,ORATECHCANNON
AP_SUPSUM_SNAP_V,"Select ""INV_JUN"",""INV_MAY"",""INV_APR"",""INV_MAR"",""INV_FEB"",""INV_JAN"",""INV_LASTMONTH"",""INV_WEEK6"",""INV_WEEK5"",""INV_WEEK4"",""INV_WEEK3"",""INV_WEEK2"",""INV_WEEK1"",""DELETE_FLAG"",""UPDATE_SOURCE"",""LAST_UPDATED_BY"",""LAST_UPDATE_DATE"",""SUPPLIER_ID"",""RECORD_STATUS"",""CREATION_DATE"",""BU_ID"",""SUB_LOCATION_ID"",""LOCATION_ID"",""CREATED_BY"",""SNAPSHOT_DATE"",""SNAPSHOT_ID"",""PMNT_TOTAL"",""INV_TOTAL"",""INV_LASTTRANDATE"",""PMNT_LASTTRANDATE"",""PMNT_THISWEEK"",""PMNT_YEAR4"",""PMNT_YEAR3"",""PMNT_YEAR2"",""PMNT_LASTYEAR"",""PMNT_YTD"",""PMNT_DEC"",""PMNT_NOV"",""PMNT_OCT"",""PMNT_SEP"",""PMNT_AUG"",""PMNT_JUL"",""PMNT_JUN"",""PMNT_MAY"",""PMNT_APR"",""PMNT_MAR"",""PMNT_FEB"",""PMNT_JAN"",""PMNT_LASTMONTH"",""PMNT_WEEK6"",""PMNT_WEEK5"",""PMNT_WEEK4"",""PMNT_WEEK3"",""PMNT_WEEK2"",""PMNT_WEEK1"",""INV_THISWEEK"",""INV_YEAR4"",""INV_YEAR3"",""INV_YEAR2"",""INV_LASTYEAR"",""INV_YTD"",""INV_DEC"",""INV_NOV"",""INV_OCT"",""INV_SEP"",""INV_AUG"",""INV_JUL"" from AP_SUPSUM_SNAP",879,ORATECHCANNON
